,pct_homeownership_black_alone,pct_black_loans,pct_bach_degree_or_higher_black_alone
0,99.5,0.8064516129032258,28.3
2,49.8,19.559975889089813,32.6
4,64.5,1.7045454545454544,15.8
8,99.4,0.7518796992481203,0.0
9,52.1,0.8620689655172413,7.9
13,59.3,1.3322231473771857,79.8
15,67.6,0.7194244604316548,0.0
17,57.4,1.6666666666666667,26.8
20,88.9,1.098901098901099,10.5
22,100.0,1.4084507042253522,0.0
23,81.0,1.2738853503184715,16.0
24,43.4,12.260536398467432,25.5
25,50.5,19.067543335325762,23.6
26,62.6,5.353319057815846,44.2
28,99.2,1.36986301369863,19.7
30,95.9,2.4691358024691357,2.4
34,63.6,1.437125748502994,24.6
36,96.1,0.7518796992481203,0.0
39,86.4,1.4705882352941175,4.3
40,55.5,0.32679738562091504,30.1
41,65.6,1.3368112161721553,38.8
42,39.3,4.689480354879595,20.3
43,18.6,0.7664562669071235,53.9
44,78.2,0.13315579227696406,47.3
45,37.8,7.5102040816326525,33.0
46,75.8,0.9009009009009009,22.1
47,60.5,3.004291845493562,7.1
48,54.9,3.155893536121673,47.4
49,26.7,12.08875286916603,30.0
52,80.7,1.8867924528301887,21.1
53,81.1,1.5789473684210527,46.4
55,100.0,3.296703296703297,0.0
56,56.3,14.652711703139868,26.9
57,44.6,3.4039820166987798,25.6
58,32.9,2.766798418972332,45.2
59,59.5,1.0822510822510822,3.9
61,100.0,1.183431952662722,15.5
65,31.3,0.7407407407407408,9.9
66,33.1,16.714082503556188,24.1
68,61.7,2.610966057441253,49.3
69,63.2,6.638115631691649,48.7
70,66.8,11.403508771929824,44.3
71,38.8,4.229195088676671,38.6
72,18.3,11.11111111111111,34.0
75,99.1,3.2761310452418098,59.3
77,75.5,5.317577548005908,32.2
81,100.0,1.2048192771084338,30.8
82,65.0,1.1049723756906076,0.0
85,64.5,0.7633587786259541,4.5
86,98.9,2.0408163265306123,30.0
89,100.0,0.9708737864077669,46.2
90,40.4,2.67314702308627,4.5
93,39.4,8.71345029239766,34.4
95,41.6,4.178674351585014,9.6
96,67.4,1.837270341207349,39.8
99,0.0,1.2165450121654502,0.0
103,77.7,1.694915254237288,34.6
104,64.7,0.40650406504065045,4.1
106,96.5,0.7299270072992701,0.0
107,100.0,1.9021739130434785,10.4
108,73.4,13.664596273291925,34.3
110,100.0,4.918032786885246,29.9
112,12.0,3.096074050430897,23.9
113,29.6,1.5953589557650472,43.6
114,18.1,1.0,34.4
115,27.0,7.446808510638298,19.7
116,57.6,26.118166758696855,19.7
117,28.8,21.27016129032258,17.7
118,20.5,7.38255033557047,31.9
119,6.6,7.216494845360824,12.0
120,35.8,7.192505288606831,37.8
121,48.1,1.7994858611825193,27.1
123,31.7,8.582089552238806,43.2
124,63.0,1.1228533685601056,50.3
125,61.9,8.598351001177857,20.0
126,33.5,15.328467153284672,31.7
127,65.9,29.259896729776248,24.5
129,100.0,1.466275659824047,33.9
130,42.7,3.9711191335740073,56.5
136,35.4,1.2658227848101267,35.0
137,55.3,0.1597444089456869,17.1
144,16.9,2.638522427440633,14.1
145,50.8,2.8083028083028085,26.8
149,41.1,3.225806451612903,2.4
150,36.7,0.56657223796034,8.8
152,39.9,1.951219512195122,52.1
153,23.4,0.5714285714285714,19.2
159,74.3,0.8771929824561403,2.8
161,0.0,2.941176470588235,0.0
163,34.9,2.1303258145363406,9.3
170,73.1,5.555555555555555,25.8
172,33.1,2.344546381243629,36.9
179,52.3,0.9615384615384616,0.0
181,21.6,0.5899705014749262,31.4
